scene_start,scene_end,audio_energy,motion_activity,speech_detected,score
0.0,152.13333333333333,1356,1874591,False,2712.0
152.13333333333333,152.66666666666666,1407,267517,True,2814.0
152.66666666666666,153.2,1514,56999,True,3028.0
153.2,182.13333333333333,1476,329518,True,2952.0
182.13333333333333,183.0,1204,10315,True,2408.0
183.0,183.53333333333333,1735,70914,True,3470.0
183.53333333333333,184.06666666666666,2490,125485,True,4980.0
184.06666666666666,184.6,2864,125036,True,5728.0
184.6,185.13333333333333,2305,110340,True,4610.0
185.13333333333333,190.66666666666666,2738,569539,True,5476.0
190.66666666666666,191.2,2743,56575,True,5486.0
191.2,191.73333333333332,1763,100197,True,3526.0
191.73333333333332,192.26666666666665,2526,102382,True,5052.0
192.26666666666665,200.13333333333333,1629,682410,True,3258.0
200.13333333333333,200.66666666666666,2682,255665,True,5364.0
200.66666666666666,202.33333333333334,1526,432680,True,3052.0
202.33333333333334,203.06666666666666,1279,279954,True,2558.0
203.06666666666666,209.26666666666665,1562,628712,True,3124.0
209.26666666666665,307.1333333333333,1123,3729752,True,2246.0
307.1333333333333,346.4,809,3030836,True,1618.0
346.4,359.4,623,1133761,True,1246.0
359.4,361.8,284,333789,True,568.0
361.8,394.46666666666664,449,4141364,True,898.0
394.46666666666664,395.5333333333333,297,368822,True,594.0
395.5333333333333,397.93333333333334,808,404475,True,1616.0
397.93333333333334,399.06666666666666,330,211145,True,660.0
399.06666666666666,410.6666666666667,647,1279358,True,1294.0
410.6666666666667,411.3333333333333,69,198674,True,138.0
411.3333333333333,413.46666666666664,161,321324,True,322.0
413.46666666666664,414.4,161,201658,True,322.0
414.4,421.6666666666667,968,896455,True,1936.0
421.6666666666667,422.46666666666664,764,358208,True,1528.0
422.46666666666664,423.0,858,222597,True,1716.0
423.0,424.59999999999997,1807,365110,True,3614.0
424.59999999999997,426.93333333333334,1209,398761,True,2418.0
426.93333333333334,429.5333333333333,871,458110,True,1742.0
429.5333333333333,432.8,585,417476,True,1170.0
432.8,477.1333333333333,1485,4472740,True,2970.0
477.1333333333333,483.8666666666667,1333,891460,True,2666.0
483.8666666666667,485.6666666666667,413,281407,True,826.0
485.6666666666667,487.26666666666665,1022,367355,True,2044.0
487.26666666666665,495.2,923,474042,True,1846.0
495.2,497.1333333333333,1029,583653,True,2058.0
497.1333333333333,497.6666666666667,1054,660511,True,2108.0
497.6666666666667,498.8,852,514065,True,1704.0
498.8,501.8666666666667,1022,347992,True,2044.0
501.8666666666667,502.8666666666667,1534,202701,True,3068.0
502.8666666666667,503.8,1066,472977,True,2132.0
503.8,505.4,1605,726642,True,3210.0
505.4,508.46666666666664,1215,499327,True,2430.0
508.46666666666664,518.2666666666667,925,1387155,True,1850.0
518.2666666666667,520.6,1425,427798,True,2850.0
520.6,535.6,1615,1223269,True,3230.0
535.6,541.5333333333333,1266,441060,True,2532.0
541.5333333333333,548.1333333333333,700,681212,True,1400.0
548.1333333333333,552.4,525,401591,True,1050.0
552.4,553.4666666666667,313,165820,True,626.0
553.4666666666667,564.7333333333333,1504,990443,True,3008.0
564.7333333333333,577.2,1604,1328169,True,3208.0
577.2,580.6666666666666,1713,261536,True,3426.0
580.6666666666666,597.5333333333333,1787,790938,True,3574.0
597.5333333333333,599.4,1912,167172,True,3824.0
599.4,610.4,790,594870,True,1580.0
610.4,616.3333333333334,167,398581,True,334.0
616.3333333333334,621.8666666666667,749,459801,True,1498.0
621.8666666666667,627.5333333333333,392,606408,True,784.0
627.5333333333333,630.2,512,283776,True,1024.0
630.2,632.8,1395,129736,True,2790.0
632.8,650.5333333333333,2633,796127,True,5266.0
650.5333333333333,652.8,456,188352,True,912.0
652.8,653.3333333333334,1444,151950,True,2888.0
653.3333333333334,654.0666666666666,799,181091,True,1598.0
654.0666666666666,658.2,849,192377,True,1698.0
658.2,670.0666666666666,798,907122,True,1596.0
670.0666666666666,694.3333333333334,588,1498532,True,1176.0
694.3333333333334,695.9333333333333,363,272628,True,726.0
695.9333333333333,697.1333333333333,120,123100,True,240.0
697.1333333333333,698.2,244,120360,True,488.0
698.2,705.7333333333333,601,890310,True,1202.0
705.7333333333333,707.4,582,211025,True,1164.0
707.4,709.2,233,82580,True,466.0
709.2,711.9333333333333,1258,229318,True,2516.0
711.9333333333333,722.7333333333333,705,827339,True,1410.0
722.7333333333333,723.3333333333334,358,81243,True,716.0
723.3333333333334,725.6,197,158754,True,394.0
725.6,728.1333333333333,592,365820,True,1184.0
728.1333333333333,732.3333333333334,1173,346322,True,2346.0
732.3333333333334,739.2666666666667,2136,449218,True,4272.0
739.2666666666667,756.9333333333333,1468,747409,True,2936.0
756.9333333333333,764.4,949,419742,True,1898.0
764.4,770.2666666666667,750,445224,True,1500.0
770.2666666666667,771.2666666666667,169,130774,True,338.0
771.2666666666667,774.2,95,281114,True,190.0
774.2,775.6666666666666,110,143625,True,220.0
775.6666666666666,778.6,6304,265189,True,12608.0
778.6,786.4,1025,391861,True,2050.0
786.4,787.3333333333334,345,158735,True,690.0
787.3333333333334,789.5333333333333,909,312887,True,1818.0
789.5333333333333,790.2,293,158842,True,586.0
790.2,791.6,557,299390,True,1114.0
791.6,794.3333333333334,903,318970,True,1806.0
794.3333333333334,795.6666666666666,459,197082,True,918.0
795.6666666666666,796.6,624,186606,True,1248.0
796.6,797.8,1739,169444,True,3478.0
797.8,802.0,1354,456679,True,2708.0
802.0,803.2666666666667,449,223334,True,898.0
803.2666666666667,804.9333333333333,561,338646,True,1122.0
804.9333333333333,805.6666666666666,1484,174199,True,2968.0
805.6666666666666,821.5333333333333,1087,582271,True,2174.0
